date,total_cases,new_cases,season,national_lockdown,firstVaccine,secondVaccine,total_admission
2020-03-19,6534.0,1066.0,spring,0.0,0.0,0.0,52
2020-03-20,7792.0,1258.0,spring,0.0,0.0,0.0,132
2020-03-21,9007.0,1215.0,spring,0.0,0.0,0.0,158
2020-03-22,10395.0,1388.0,spring,0.0,0.0,0.0,102
2020-03-23,12744.0,2349.0,spring,1.0,0.0,0.0,139
2020-03-24,15126.0,2382.0,spring,1.0,0.0,0.0,151
2020-03-25,17843.0,2717.0,spring,1.0,0.0,0.0,189
2020-03-26,20970.0,3127.0,spring,1.0,0.0,0.0,205
2020-03-27,24219.0,3249.0,spring,1.0,0.0,0.0,262
2020-03-28,27062.0,2843.0,spring,1.0,0.0,0.0,283
2020-03-29,29954.0,2892.0,spring,1.0,0.0,0.0,317
2020-03-30,34281.0,4327.0,spring,1.0,0.0,0.0,420
2020-03-31,38815.0,4534.0,spring,1.0,0.0,0.0,358
2020-04-01,43789.0,4974.0,spring,1.0,0.0,0.0,517
2020-04-02,48718.0,4929.0,spring,1.0,0.0,0.0,430
2020-04-03,53699.0,4981.0,spring,1.0,0.0,0.0,411
2020-04-04,57772.0,4073.0,spring,1.0,0.0,0.0,406
2020-04-05,61422.0,3650.0,spring,1.0,0.0,0.0,409
2020-04-06,66738.0,5316.0,spring,1.0,0.0,0.0,401
2020-04-07,72224.0,5486.0,spring,1.0,0.0,0.0,480
2020-04-08,77387.0,5163.0,spring,1.0,0.0,0.0,531
2020-04-09,82293.0,4906.0,spring,1.0,0.0,0.0,376
2020-04-10,86660.0,4367.0,spring,1.0,0.0,0.0,371
2020-04-11,90273.0,3613.0,spring,1.0,0.0,0.0,353
2020-04-12,93812.0,3539.0,spring,1.0,0.0,0.0,325
2020-04-13,98017.0,4205.0,spring,1.0,0.0,0.0,351
2020-04-14,102365.0,4348.0,spring,1.0,0.0,0.0,334
2020-04-15,107465.0,5100.0,spring,1.0,0.0,0.0,277
2020-04-16,112808.0,5343.0,spring,1.0,0.0,0.0,289
2020-04-17,117798.0,4990.0,spring,1.0,0.0,0.0,359
2020-04-18,122534.0,4736.0,spring,1.0,0.0,0.0,311
2020-04-19,126394.0,3860.0,spring,1.0,0.0,0.0,224
2020-04-20,131260.0,4866.0,spring,1.0,0.0,0.0,284
2020-04-21,136035.0,4775.0,spring,1.0,0.0,0.0,291
2020-04-22,141540.0,5505.0,spring,1.0,0.0,0.0,305
2020-04-23,146708.0,5168.0,spring,1.0,0.0,0.0,266
2020-04-24,151689.0,4981.0,spring,1.0,0.0,0.0,293
2020-04-25,155453.0,3764.0,spring,1.0,0.0,0.0,249
2020-04-26,158926.0,3473.0,spring,1.0,0.0,0.0,243
2020-04-27,163630.0,4704.0,spring,1.0,0.0,0.0,341
2020-04-28,168357.0,4727.0,spring,1.0,0.0,0.0,327
2020-04-29,173807.0,5450.0,spring,1.0,0.0,0.0,332
2020-04-30,178771.0,4964.0,spring,1.0,0.0,0.0,294
2020-05-01,183501.0,4730.0,spring,1.0,0.0,0.0,277
2020-05-02,186731.0,3230.0,spring,1.0,0.0,0.0,235
2020-05-03,189708.0,2977.0,spring,1.0,0.0,0.0,218
