,var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var5(t)
1,0.0,0.015545714,0.0,0.0,0.033507075,0.09307521
2,0.00028896646,0.01836154,0.0,0.0,0.09307521,0.11243485
3,0.00056805543,0.017730912,0.0,0.0,0.11243485,0.07073716
4,0.00088688324,0.02026809,0.0,0.0,0.07073716,0.09828742
5,0.0014264557,0.03436189,0.0,0.0,0.09828742,0.10722264
6,0.001973608,0.034845863,0.0,0.0,0.10722264,0.1355175
7,0.002597711,0.039758895,0.0,0.0,0.1355175,0.14743112
8,0.0033159922,0.04577186,0.0,0.0,0.14743112,0.18987341
9,0.0040622973,0.047561083,0.0,0.0,0.18987341,0.20551005
10,0.004715343,0.041606784,0.0,0.0,0.20551005,0.23082651
11,0.0053796438,0.042325404,0.0,0.0,0.23082651,0.30752048
12,0.0063735684,0.06337079,0.0,0.0,0.30752048,0.26135516
13,0.0074150423,0.0664066,0.0,0.0,0.26135516,0.37974682
14,0.008557585,0.07285953,0.0,0.0,0.37974682,0.3149665
15,0.009689791,0.072199576,0.0,0.0,0.3149665,0.30081907
16,0.010833941,0.072962195,0.0,0.0,0.30081907,0.29709604
17,0.011769522,0.059645675,0.0,0.0,0.29709604,0.29932985
18,0.012607938,0.053442057,0.0,0.0,0.29932985,0.29337305
19,0.0138290385,0.07787523,0.0,0.0,0.29337305,0.35219657
20,0.015089189,0.08036841,0.0,0.0,0.35219657,0.39017126
21,0.016275147,0.075631365,0.0,0.0,0.39017126,0.274758
22,0.01740207,0.071862265,0.0,0.0,0.274758,0.271035
23,0.018405182,0.063957416,0.0,0.0,0.271035,0.25763217
24,0.019235099,0.052899424,0.0,0.0,0.25763217,0.23678333
25,0.020048019,0.051814158,0.0,0.0,0.23678333,0.25614297
26,0.02101392,0.06158156,0.0,0.0,0.25614297,0.24348474
27,0.022012668,0.063678764,0.0,0.0,0.24348474,0.20104244
28,0.023184154,0.074707426,0.0,0.0,0.20104244,0.20997766
29,0.024411457,0.0782712,0.0,0.0,0.20997766,0.26209977
30,0.025557674,0.07309419,0.0,0.0,0.26209977,0.22635889
31,0.026645549,0.069369085,0.0,0.0,0.22635889,0.16157855
32,0.027532201,0.056521866,0.0,0.0,0.16157855,0.20625465
33,0.028649935,0.07127564,0.0,0.0,0.20625465,0.21146686
34,0.029746767,0.06994105,0.0,0.0,0.21146686,0.22189128
35,0.031011283,0.08064706,0.0,0.0,0.22189128,0.19285183
36,0.032198388,0.075704694,0.0,0.0,0.19285183,0.21295607
37,0.03334254,0.072962195,0.0,0.0,0.21295607,0.18019359
38,0.03420714,0.055113953,0.0,0.0,0.18019359,0.17572598
39,0.0350049,0.050846215,0.0,0.0,0.17572598,0.24869695
40,0.036085423,0.06889978,0.0,0.0,0.24869695,0.23827252
41,0.03717123,0.06923709,0.0,0.0,0.23827252,0.24199553
42,0.03842311,0.079840444,0.0,0.0,0.24199553,0.21370067
43,0.039563354,0.072712876,0.0,0.0,0.21370067,0.20104244
44,0.04064985,0.06928109,0.0,0.0,0.20104244,0.16976917
45,0.04139179,0.047282435,0.0,0.0,0.16976917,0.15711094
46,0.042075615,0.043571994,0.0,0.0,0.15711094,0.20699926
47,0.042852703,0.049526297,0.0,0.0,0.20699926,0.20774385
48,0.043700077,0.054014023,0.0,0.0,0.20774385,0.19061802
49,0.044581216,0.05616989,0.0,0.0,0.19061802,0.20029783
50,0.045447428,0.055216614,0.0,0.0,0.20029783,0.16604616
51,0.04614848,0.044671927,0.0,0.0,0.16604616,0.16604616
52,0.04664234,0.031443406,0.0,0.0,0.16604616,0.12807147
53,0.047175713,0.033965915,0.0,0.0,0.12807147,0.15711094
54,0.048000116,0.052547444,0.0,0.0,0.15711094,0.19731943
55,0.048779957,0.049702287,0.0,0.0,0.19731943,0.20178704
56,0.04953798,0.04830904,0.0,0.0,0.20178704,0.17944899
57,0.05013934,0.038306985,0.0,0.0,0.17944899,0.18763961
58,0.050718423,0.036884405,0.0,0.0,0.18763961,0.1377513
59,0.051194366,0.030299475,0.0,0.0,0.1377513,0.108711846
60,0.051613804,0.026691696,0.0,0.0,0.108711846,0.14519732
61,0.05220575,0.03770569,0.0,0.0,0.14519732,0.16604616
62,0.05290818,0.04475992,0.0,0.0,0.16604616,0.16008934
63,0.053531133,0.039685566,0.0,0.0,0.16008934,0.16008934
64,0.054117795,0.037368376,0.0,0.0,0.16008934,0.18019359
