date,total_admission,total_cases,new_cases,season,national_lockdown,first_vaccine,second_vaccine
31/01/2020,NA,2,2,winter,0,0,0
01/02/2020,NA,2,0,winter,0,0,0
02/02/2020,NA,2,0,winter,0,0,0
03/02/2020,NA,8,6,winter,0,0,0
04/02/2020,NA,8,0,winter,0,0,0
05/02/2020,NA,9,1,winter,0,0,0
06/02/2020,NA,9,0,winter,0,0,0
07/02/2020,NA,9,0,winter,0,0,0
08/02/2020,NA,13,4,winter,0,0,0
09/02/2020,NA,14,1,winter,0,0,0
10/02/2020,NA,14,0,winter,0,0,0
11/02/2020,NA,15,1,winter,0,0,0
12/02/2020,NA,16,1,winter,0,0,0
13/02/2020,NA,17,1,winter,0,0,0
14/02/2020,NA,18,1,winter,0,0,0
15/02/2020,NA,18,0,winter,0,0,0
16/02/2020,NA,18,0,winter,0,0,0
17/02/2020,NA,19,1,winter,0,0,0
18/02/2020,NA,19,0,winter,0,0,0
19/02/2020,NA,20,1,winter,0,0,0
20/02/2020,NA,22,2,winter,0,0,0
21/02/2020,NA,23,1,winter,0,0,0
22/02/2020,NA,23,0,winter,0,0,0
23/02/2020,NA,28,5,winter,0,0,0
24/02/2020,NA,30,2,winter,0,0,0
25/02/2020,NA,34,4,winter,0,0,0
26/02/2020,NA,37,3,winter,0,0,0
27/02/2020,NA,44,7,winter,0,0,0
28/02/2020,NA,56,12,winter,0,0,0
29/02/2020,NA,61,5,winter,0,0,0
01/03/2020,NA,94,33,spring,0,0,0
02/03/2020,NA,134,40,spring,0,0,0
03/03/2020,NA,189,55,spring,0,0,0
04/03/2020,NA,246,57,spring,0,0,0
05/03/2020,NA,295,49,spring,0,0,0
06/03/2020,NA,374,79,spring,0,0,0
07/03/2020,NA,429,55,spring,0,0,0
08/03/2020,NA,483,54,spring,0,0,0
09/03/2020,NA,630,147,spring,0,0,0
10/03/2020,NA,889,259,spring,0,0,0
11/03/2020,NA,1301,412,spring,0,0,0
12/03/2020,NA,1790,489,spring,0,0,0
13/03/2020,NA,2270,480,spring,0,0,0
14/03/2020,NA,2634,364,spring,0,0,0
15/03/2020,NA,3077,443,spring,0,0,0
16/03/2020,NA,3692,615,spring,0,0,0
17/03/2020,NA,4462,770,spring,0,0,0
18/03/2020,NA,5468,1006,spring,0,0,0
19/03/2020,52,6534,1066,spring,0,0,0
20/03/2020,132,7792,1258,spring,0,0,0
21/03/2020,158,9007,1215,spring,0,0,0
22/03/2020,102,10395,1388,spring,0,0,0
23/03/2020,139,12744,2349,spring,1,0,0
24/03/2020,151,15126,2382,spring,1,0,0
25/03/2020,189,17843,2717,spring,1,0,0
26/03/2020,205,20970,3127,spring,1,0,0
27/03/2020,262,24219,3249,spring,1,0,0
28/03/2020,283,27062,2843,spring,1,0,0
29/03/2020,317,29954,2892,spring,1,0,0
30/03/2020,420,34281,4327,spring,1,0,0
31/03/2020,358,38815,4534,spring,1,0,0
01/04/2020,517,43789,4974,spring,1,0,0
02/04/2020,430,48718,4929,spring,1,0,0
03/04/2020,411,53699,4981,spring,1,0,0
04/04/2020,406,57772,4073,spring,1,0,0
05/04/2020,409,61422,3650,spring,1,0,0
06/04/2020,401,66738,5316,spring,1,0,0
07/04/2020,480,72224,5486,spring,1,0,0
08/04/2020,531,77387,5163,spring,1,0,0
09/04/2020,376,82293,4906,spring,1,0,0
10/04/2020,371,86660,4367,spring,1,0,0
11/04/2020,353,90273,3613,spring,1,0,0
12/04/2020,325,93812,3539,spring,1,0,0
13/04/2020,351,98017,4205,spring,1,0,0
14/04/2020,334,102365,4348,spring,1,0,0
15/04/2020,277,107465,5100,spring,1,0,0
16/04/2020,289,112808,5343,spring,1,0,0
17/04/2020,359,117798,4990,spring,1,0,0
18/04/2020,311,122534,4736,spring,1,0,0
19/04/2020,224,126394,3860,spring,1,0,0
20/04/2020,284,131260,4866,spring,1,0,0
21/04/2020,291,136035,4775,spring,1,0,0
22/04/2020,305,141540,5505,spring,1,0,0
23/04/2020,266,146708,5168,spring,1,0,0
24/04/2020,293,151689,4981,spring,1,0,0
25/04/2020,249,155453,3764,spring,1,0,0
26/04/2020,243,158926,3473,spring,1,0,0
27/04/2020,341,163630,4704,spring,1,0,0
28/04/2020,327,168357,4727,spring,1,0,0
29/04/2020,332,173807,5450,spring,1,0,0
30/04/2020,294,178771,4964,spring,1,0,0
01/05/2020,277,183501,4730,spring,1,0,0
02/05/2020,235,186731,3230,spring,1,0,0
03/05/2020,218,189708,2977,spring,1,0,0
04/05/2020,285,193091,3383,spring,1,0,0
05/05/2020,286,196780,3689,spring,1,0,0
06/05/2020,263,200616,3836,spring,1,0,0
07/05/2020,276,204387,3771,spring,1,0,0
08/05/2020,230,207439,3052,spring,1,0,0
09/05/2020,230,209589,2150,spring,1,0,0
10/05/2020,179,211911,2322,spring,0,0,0
11/05/2020,218,215500,3589,spring,0,0,0
12/05/2020,272,218895,3395,spring,0,0,0
13/05/2020,278,222195,3300,spring,0,0,0
14/05/2020,248,224813,2618,spring,0,0,0
15/05/2020,259,227334,2521,spring,0,0,0
16/05/2020,192,229406,2072,spring,0,0,0
17/05/2020,153,231232,1826,spring,0,0,0
18/05/2020,202,233809,2577,spring,0,0,0
19/05/2020,230,236867,3058,spring,0,0,0
20/05/2020,222,239579,2712,spring,0,0,0
21/05/2020,222,242133,2554,spring,0,0,0
