date,total_admission_UK,total_cases_specimen,new_cases_specimen,season,national_lockdown,first_vaccine,second_vaccine
31/01/2020,NA,2,2,winter,0,0,0
01/02/2020,NA,2,0,winter,0,0,0
02/02/2020,NA,2,0,winter,0,0,0
03/02/2020,NA,2,0,winter,0,0,0
04/02/2020,NA,2,0,winter,0,0,0
05/02/2020,NA,2,0,winter,0,0,0
06/02/2020,NA,3,1,winter,0,0,0
07/02/2020,NA,3,0,winter,0,0,0
08/02/2020,NA,3,0,winter,0,0,0
09/02/2020,NA,7,4,winter,0,0,0
10/02/2020,NA,8,1,winter,0,0,0
11/02/2020,NA,8,0,winter,0,0,0
12/02/2020,NA,9,1,winter,0,0,0
13/02/2020,NA,9,0,winter,0,0,0
14/02/2020,NA,9,0,winter,0,0,0
15/02/2020,NA,9,0,winter,0,0,0
16/02/2020,NA,9,0,winter,0,0,0
17/02/2020,NA,9,0,winter,0,0,0
18/02/2020,NA,9,0,winter,0,0,0
19/02/2020,NA,9,0,winter,0,0,0
20/02/2020,NA,9,0,winter,0,0,0
21/02/2020,NA,9,0,winter,0,0,0
22/02/2020,NA,10,1,winter,0,0,0
23/02/2020,NA,10,0,winter,0,0,0
24/02/2020,NA,11,1,winter,0,0,0
25/02/2020,NA,13,2,winter,0,0,0
26/02/2020,NA,18,5,winter,0,0,0
27/02/2020,NA,22,4,winter,0,0,0
28/02/2020,NA,30,8,winter,0,0,0
29/02/2020,NA,42,12,winter,0,0,0
01/03/2020,NA,47,5,winter,0,0,0
02/03/2020,NA,69,22,winter,0,0,0
03/03/2020,NA,108,39,winter,0,0,0
04/03/2020,NA,164,56,winter,0,0,0
05/03/2020,NA,220,56,winter,0,0,0
06/03/2020,NA,270,50,winter,0,0,0
07/03/2020,NA,351,81,winter,0,0,0
08/03/2020,NA,419,68,winter,0,0,0
09/03/2020,NA,476,57,winter,0,0,0
10/03/2020,NA,623,147,winter,0,0,0
11/03/2020,NA,888,265,winter,0,0,0
12/03/2020,NA,1293,405,winter,0,0,0
13/03/2020,NA,1774,481,winter,0,0,0
14/03/2020,NA,2254,480,winter,0,0,0
15/03/2020,NA,2617,363,winter,0,0,0
16/03/2020,NA,3059,442,winter,0,0,0
17/03/2020,NA,3670,611,winter,0,0,0
18/03/2020,NA,4438,768,winter,0,0,0
19/03/2020,NA,5435,997,winter,0,0,0
20/03/2020,NA,6486,1051,spring,0,0,0
21/03/2020,NA,7746,1260,spring,0,0,0
22/03/2020,NA,8940,1194,spring,0,0,0
23/03/2020,1273,10313,1373,spring,1,0,0
24/03/2020,1720,12637,2324,spring,1,0,0
25/03/2020,2085,15012,2375,spring,1,0,0
26/03/2020,1929,17700,2688,spring,1,0,0
27/03/2020,2227,20791,3091,spring,1,0,0
28/03/2020,2191,23976,3185,spring,1,0,0
29/03/2020,2489,26791,2815,spring,1,0,0
30/03/2020,3190,29649,2858,spring,1,0,0
31/03/2020,2832,33914,4265,spring,1,0,0
01/04/2020,3565,38428,4514,spring,1,0,0
02/04/2020,3284,43367,4939,spring,1,0,0
03/04/2020,2930,48224,4857,spring,1,0,0
04/04/2020,2921,53114,4890,spring,1,0,0
05/04/2020,2916,57120,4006,spring,1,0,0
06/04/2020,3046,60709,3589,spring,1,0,0
07/04/2020,3149,65970,5261,spring,1,0,0
08/04/2020,2967,71402,5432,spring,1,0,0
09/04/2020,2628,76518,5116,spring,1,0,0
10/04/2020,2463,81371,4853,spring,1,0,0
11/04/2020,2162,85681,4310,spring,1,0,0
12/04/2020,2066,89239,3558,spring,1,0,0
13/04/2020,2161,92719,3480,spring,1,0,0
14/04/2020,2088,96885,4166,spring,1,0,0
15/04/2020,1880,101185,4300,spring,1,0,0
16/04/2020,2011,106226,5041,spring,1,0,0
17/04/2020,1966,111498,5272,spring,1,0,0
18/04/2020,1629,116436,4938,spring,1,0,0
19/04/2020,1657,121141,4705,spring,1,0,0
20/04/2020,1737,124995,3854,spring,1,0,0
21/04/2020,1713,129839,4844,spring,1,0,0
22/04/2020,1527,134606,4767,spring,1,0,0
23/04/2020,1513,140093,5487,spring,1,0,0
24/04/2020,1525,145234,5141,spring,1,0,0
25/04/2020,1255,150182,4948,spring,1,0,0
26/04/2020,1355,153924,3742,spring,1,0,0
27/04/2020,1538,157395,3471,spring,1,0,0
28/04/2020,1517,162091,4696,spring,1,0,0
29/04/2020,1489,166808,4717,spring,1,0,0
30/04/2020,1443,172231,5423,spring,1,0,0
01/05/2020,1262,177186,4955,spring,1,0,0
02/05/2020,1180,181914,4728,spring,1,0,0
03/05/2020,1188,185138,3224,spring,1,0,0
04/05/2020,1250,188118,2980,spring,1,0,0
05/05/2020,1146,191499,3381,spring,1,0,0
06/05/2020,1206,195173,3674,spring,1,0,0
07/05/2020,1164,198992,3819,spring,1,0,0
08/05/2020,910,202758,3766,spring,1,0,0
09/05/2020,943,205819,3061,spring,1,0,0
10/05/2020,915,207981,2162,spring,0,0,0
11/05/2020,1029,210301,2320,spring,0,0,0
12/05/2020,983,213870,3569,spring,0,0,0
13/05/2020,966,217262,3392,spring,0,0,0
14/05/2020,909,220570,3308,spring,0,0,0
15/05/2020,871,223194,2624,spring,0,0,0
16/05/2020,813,225723,2529,spring,0,0,0
17/05/2020,792,227801,2078,spring,0,0,0
18/05/2020,848,229635,1834,spring,0,0,0
19/05/2020,881,232215,2580,spring,0,0,0
