No,date,new_cases
0,2020-01-25,3.0
1,2020-01-26,1.0
2,2020-01-27,0.0
3,2020-01-28,0.0
4,2020-01-29,3.0
5,2020-01-30,1.0
6,2020-01-31,0.0
7,2020-02-01,0.0
8,2020-02-02,0.0
9,2020-02-03,0.0
10,2020-02-04,2.0
11,2020-02-05,2.0
12,2020-02-06,0.0
13,2020-02-07,0.0
14,2020-02-08,4.0
15,2020-02-09,0.0
16,2020-02-10,2.0
17,2020-02-11,0.0
18,2020-02-12,0.0
19,2020-02-13,1.0
20,2020-02-14,0.0
21,2020-02-15,3.0
22,2020-02-16,0.0
23,2020-02-17,0.0
24,2020-02-18,0.0
25,2020-02-19,0.0
26,2020-02-20,0.0
27,2020-02-21,0.0
28,2020-02-22,0.0
29,2020-02-23,0.0
30,2020-02-24,0.0
31,2020-02-25,0.0
32,2020-02-26,0.0
33,2020-02-27,1.0
34,2020-02-28,0.0
35,2020-02-29,2.0
36,2020-03-01,4.0
37,2020-03-02,0.0
38,2020-03-03,7.0
39,2020-03-04,14.0
40,2020-03-05,0.0
41,2020-03-06,33.0
42,2020-03-07,10.0
43,2020-03-08,6.0
44,2020-03-09,18.0
45,2020-03-10,12.0
46,2020-03-11,20.0
47,2020-03-12,0.0
48,2020-03-13,48.0
49,2020-03-14,41.0
50,2020-03-15,190.0
51,2020-03-16,138.0
52,2020-03-17,107.0
53,2020-03-18,117.0
54,2020-03-19,110.0
55,2020-03-20,130.0
56,2020-03-21,153.0
57,2020-03-22,123.0
58,2020-03-23,212.0
59,2020-03-24,106.0
60,2020-03-25,172.0
61,2020-03-26,235.0
62,2020-03-27,130.0
63,2020-03-28,159.0
64,2020-03-29,150.0
65,2020-03-30,156.0
66,2020-03-31,140.0
67,2020-04-01,142.0
68,2020-04-02,208.0
69,2020-04-03,217.0
70,2020-04-04,150.0
71,2020-04-05,179.0
72,2020-04-06,131.0
73,2020-04-07,170.0
74,2020-04-08,156.0
75,2020-04-09,109.0
76,2020-04-10,118.0
77,2020-04-11,184.0
78,2020-04-12,153.0
79,2020-04-13,134.0
80,2020-04-14,170.0
81,2020-04-15,85.0
82,2020-04-16,110.0
83,2020-04-17,69.0
84,2020-04-18,54.0
85,2020-04-19,84.0
86,2020-04-20,36.0
87,2020-04-21,57.0
88,2020-04-22,50.0
89,2020-04-23,71.0
90,2020-04-24,88.0
